datetime;Heat
2017-01-01 00:00;841123.8463748079
2017-01-01 00:15;810409.3812191001
2017-01-01 00:30;832857.0157689895
2017-01-01 00:45;835728.8467033016
2017-01-01 01:00;830956.3778009446
2017-01-01 01:15;807683.780573462
2017-01-01 01:30;823423.796122526
2017-01-01 01:45;801423.6789019624
2017-01-01 02:00;813176.2089552421
2017-01-01 02:15;830070.1675533905
2017-01-01 02:30;800162.8366306875
2017-01-01 02:45;843904.4772282991
2017-01-01 03:00;836806.6911640059
2017-01-01 03:15;808314.7054093247
2017-01-01 03:30;841302.8865232078
2017-01-01 03:45;809356.5661329138
2017-01-01 04:00;822631.7859868229
2017-01-01 04:15;814667.3520401773
2017-01-01 04:30;846013.92106563
2017-01-01 04:45;802590.1935975231
2017-01-01 05:00;836428.7390093836
2017-01-01 05:15;830582.7156394519
2017-01-01 05:30;802957.9544565189
2017-01-01 05:45;822621.0782570768
2017-01-01 06:00;809072.8433449224
2017-01-01 06:15;828492.5065850279
2017-01-01 06:30;838245.316236946
2017-01-01 06:45;847825.2132176267
2017-01-01 07:00;832767.2648148974
2017-01-01 07:15;835663.5894296289
2017-01-01 07:30;817135.1660186929
2017-01-01 07:45;803632.2911591617
2017-01-01 08:00;801282.5824409301
2017-01-01 08:15;808474.7868631987
2017-01-01 08:30;822327.1871041278
2017-01-01 08:45;834161.6939895338
2017-01-01 09:00;805575.3697736093
2017-01-01 09:15;827300.3993113168
2017-01-01 09:30;817266.6692764063
2017-01-01 09:45;847554.1167950515
2017-01-01 10:00;800289.9514939848
2017-01-01 10:15;835526.0972479916
2017-01-01 10:30;833645.2561311666
2017-01-01 10:45;838519.7992899418
2017-01-01 11:00;810100.4696070284
2017-01-01 11:15;825318.2829763154
2017-01-01 11:30;841976.3104935553
2017-01-01 11:45;835202.6290114262
2017-01-01 12:00;821535.758461595
2017-01-01 12:15;808059.4849879397
2017-01-01 12:30;850234.9775679137
2017-01-01 12:45;834266.021574799
2017-01-01 13:00;835953.4876317867
2017-01-01 13:15;829722.5446892472
2017-01-01 13:30;814900.3360335559
2017-01-01 13:45;802695.0850392322
2017-01-01 14:00;831230.4851154742
2017-01-01 14:15;822572.0522932874
2017-01-01 14:30;809717.1760112816
2017-01-01 14:45;820385.3523762011
2017-01-01 15:00;832797.4575733832
2017-01-01 15:15;800480.9299677142
2017-01-01 15:30;802818.1231790119
2017-01-01 15:45;808061.494283069
2017-01-01 16:00;828034.9347167218
2017-01-01 16:15;844505.1223349752
2017-01-01 16:30;822456.908260189
2017-01-01 16:45;829287.160650377
2017-01-01 17:00;832052.3268862029
2017-01-01 17:15;843335.9496741772
2017-01-01 17:30;819634.8432548508
2017-01-01 17:45;802567.1774012273
2017-01-01 18:00;849307.9719537541
2017-01-01 18:15;812948.3151095761
2017-01-01 18:30;846732.097566551
2017-01-01 18:45;801659.6789688682
2017-01-01 19:00;841765.2936427642
2017-01-01 19:15;845993.2714138825
2017-01-01 19:30;838239.9107312683
2017-01-01 19:45;811096.0934653253
2017-01-01 20:00;830636.5576300477
2017-01-01 20:15;830031.447196723
2017-01-01 20:30;835725.084615635
2017-01-01 20:45;847028.5911672156
2017-01-01 21:00;843653.952071903
2017-01-01 21:15;837715.8103637216
2017-01-01 21:30;816967.7208093874
2017-01-01 21:45;804707.5090687854
2017-01-01 22:00;812559.8968537445
2017-01-01 22:15;823175.9491432719
2017-01-01 22:30;809933.6645801341
2017-01-01 22:45;820392.4386219159
2017-01-01 23:00;825431.8290524227
2017-01-01 23:15;826718.0242400917
2017-01-01 23:30;819312.9525517278
