datetime;Heat
2018-01-01 00:00;677540.8470136411
2018-01-01 00:15;700482.6700309125
2018-01-01 00:30;710560.3802569169
2018-01-01 00:45;677513.3301308312
2018-01-01 01:00;688995.2850150676
2018-01-01 01:15;659667.1733237745
2018-01-01 01:30;747962.7011128223
2018-01-01 01:45;677421.5738006829
2018-01-01 02:00;719201.5222133808
2018-01-01 02:15;657989.7547095834
2018-01-01 02:30;712181.0248373194
2018-01-01 02:45;741077.1265814259
2018-01-01 03:00;740697.637059562
2018-01-01 03:15;734251.1039412598
2018-01-01 03:30;738031.7206735354
2018-01-01 03:45;694174.4772041538
2018-01-01 04:00;665117.9448624573
2018-01-01 04:15;670538.2953602062
2018-01-01 04:30;678718.6054996271
2018-01-01 04:45;742109.8319240767
2018-01-01 05:00;708007.5910803777
2018-01-01 05:15;712903.048980363
2018-01-01 05:30;661281.1711014127
2018-01-01 05:45;740689.2971644991
2018-01-01 06:00;710149.2182478429
2018-01-01 06:15;688931.5986560797
2018-01-01 06:30;690245.0483175012
2018-01-01 06:45;720027.8265429657
2018-01-01 07:00;734604.6189387707
2018-01-01 07:15;724542.1404267906
2018-01-01 07:30;654222.8273769135
2018-01-01 07:45;742295.933730133
2018-01-01 08:00;743325.8641683905
2018-01-01 08:15;706942.9823583576
2018-01-01 08:30;683969.111683738
2018-01-01 08:45;740881.8912888288
2018-01-01 09:00;700473.9081449471
2018-01-01 09:15;741284.9840228994
2018-01-01 09:30;733171.8712132567
2018-01-01 09:45;678678.5203874873
2018-01-01 10:00;750417.1149989332
2018-01-01 10:15;681058.3540789434
2018-01-01 10:30;661228.9552788029
2018-01-01 10:45;696724.4819409106
2018-01-01 11:00;735843.2201923794
2018-01-01 11:15;703041.3721873071
2018-01-01 11:30;672339.5818542321
2018-01-01 11:45;697308.7069704087
2018-01-01 12:00;741785.427511095
2018-01-01 12:15;652969.5788465515
2018-01-01 12:30;681212.9455646351
2018-01-01 12:45;748218.3264635159
2018-01-01 13:00;734019.1907279218
2018-01-01 13:15;664683.9709171024
2018-01-01 13:30;706151.2818638835
2018-01-01 13:45;685746.5903110375
2018-01-01 14:00;656248.5584544064
2018-01-01 14:15;654904.3617275249
2018-01-01 14:30;681515.5569409135
2018-01-01 14:45;703262.2471603621
2018-01-01 15:00;734831.0889963408
2018-01-01 15:15;710870.5128286777
2018-01-01 15:30;661787.6842696335
2018-01-01 15:45;748505.6388704483
2018-01-01 16:00;686249.099743041
2018-01-01 16:15;717313.7541255587
2018-01-01 16:30;725573.9465543532
2018-01-01 16:45;677968.6824275937
2018-01-01 17:00;723481.1107597767
2018-01-01 17:15;663461.1359748179
2018-01-01 17:30;733053.3382268545
2018-01-01 17:45;693553.6769219578
2018-01-01 18:00;666703.3728423081
2018-01-01 18:15;652038.8792390315
2018-01-01 18:30;741514.694521769
2018-01-01 18:45;727106.5945215678
2018-01-01 19:00;705972.979381732
2018-01-01 19:15;667984.2483956709
2018-01-01 19:30;723692.1756789882
2018-01-01 19:45;712412.9359161054
2018-01-01 20:00;666220.9614857327
2018-01-01 20:15;682511.575060598
2018-01-01 20:30;688134.6403433352
2018-01-01 20:45;747767.490496658
2018-01-01 21:00;735988.1718219202
2018-01-01 21:15;662525.7787930621
2018-01-01 21:30;709001.0831821368
2018-01-01 21:45;706244.8330458365
2018-01-01 22:00;681506.3262249704
2018-01-01 22:15;735191.6914867297
2018-01-01 22:30;751181.8007449554
2018-01-01 22:45;653057.4897854715
2018-01-01 23:00;743558.8584596505
2018-01-01 23:15;689282.9358794075
2018-01-01 23:30;659153.8470611398
